id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
432,a,,,5.5,188,117,0,0,0,0,1.1,187,58,5,4,2.5,143,64,0,32,2.5,138,64,0.5,0.9,0,17712,14252,23574,9881,2.5,2.5,0.21,0.28,0.49,1.13,0.19,0.25,0.44,1.0,18.0,189,72,9.7,188,104,11.0,140,70,3.8,201,89,,,,2,,Kobbie,Mainoo,Mainoo,,,102,0,0,0,1,0,0,0,0,0,0,1,16,,,,0.0,0.0,0.88,0.88,14.12,3,2,11
433,i,0.0,0.0,5.0,291,175,0,0,0,0,0.0,618,266,0,0,0.0,545,221,0,0,0.0,545,221,0.0,0.0,0,48,24,146,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533,213,0.0,534,218,0.0,489,183,0.0,540,215,,,,2,,Manuel,Ugarte Ribeiro,Ugarte,Knee injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
434,a,,,5.0,362,217,0,0,0,0,0.0,591,250,0,0,0.0,578,240,0,0,0.0,578,240,0.0,0.0,0,103,62,311,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,233,0.0,572,239,0.0,535,209,0.0,573,236,,,,2,,Jack,Fletcher,J.Fletcher,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
435,a,,,5.0,371,224,0,0,0,0,0.1,491,201,1,0,1.0,290,130,0,3,0.5,320,147,0.1,0.2,0,575,248,1400,810,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,336,155,0.6,299,150,0.0,543,216,0.1,345,162,,,,2,,Shea,Lacey,Lacey,,,10,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,9.0,0,0,1
436,u,0.0,,5.0,331,196,0,0,0,0,0.0,570,236,0,0,0.0,564,232,0,0,0.0,564,232,0.0,0.0,0,150,90,503,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552,225,0.0,558,231,0.0,518,199,0.0,560,228,,,,2,,Toby,Collyer,Collyer,Has joined West Brom permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
438,a,,,4.5,523,270,0,0,0,0,0.3,295,100,0,0,0.0,469,182,0,0,0.0,469,182,0.0,0.0,0,2744,1416,7295,3311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,170,0.0,452,179,0.0,394,137,0.0,460,175,,,,2,,Tyler,Fletcher,Fletcher,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
439,a,100.0,100.0,7.0,29,10,0,0,0,0,1.6,144,23,2,1,1.0,340,42,0,7,1.0,269,33,0.1,0.3,0,42673,12119,51955,36829,1.0,1.0,0.04,0.01,0.05,1.07,0.11,0.03,0.14,2.92,2.2,310,34,11.0,180,20,11.0,146,28,2.4,242,28,,,,2,,Benjamin,Sesko,Šeško,,,33,0,0,0,1,0,0,0,0,0,0,0,3,,,,0.0,0.0,2.73,0.0,8.18,0,0,3
440,a,,,5.4,222,49,-1,1,-1,1,0.5,262,45,0,0,0.0,600,68,0,0,0.0,600,68,0.0,0.0,0,6018,3973,22733,9602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587,61,0.0,593,66,0.0,566,63,0.0,594,66,,,,2,,Joshua,Zirkzee,Zirkzee,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
441,a,,,4.5,549,75,0,0,0,0,1.2,174,27,0,0,0.0,490,52,0,0,0.0,490,52,0.0,0.0,0,20566,14250,23100,11531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,45,0.0,473,50,0.0,417,47,0.0,482,50,,,,2,,Chido,Obi,Obi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
17,a,,,5.9,95,62,-1,1,-1,1,0.5,253,85,2,1,1.0,323,152,0,12,1.0,260,125,0.2,0.3,0,4924,2502,26154,10897,1.0,1.0,0.14,0.02,0.16,0.15,0.38,0.05,0.43,0.41,6.4,258,115,2.2,241,128,14.0,121,61,2.3,244,109,,,,2,,Mikel,Merino Zazón,Merino,,,33,0,0,0,0,0,0,0,0,0,0,0,6,,,,0.0,0.0,0.0,0.0,16.36,0,0,6
