id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
323,Kasey,McAteer,McAteer,a,,,4.5,497,264,1.3,161,50,1.0,230,105,1,0,0,0,0,1110,1192,0.2,0.7,1.0,1.0,1.0,275,117,,,317,143,272,139,371,130,324,148,,,,,,,,0.11,0.0,0.11,0.45,0.0,0.0,0.0,0.0,10.71,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1193,1290,0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0,0,1,1
324,Anis,Mehmeti,Mehmeti,a,,,4.9,394,240,0.0,515,212,0.0,530,211,0,0,0,-1,1,17,70,0.0,0.0,0.0,0.0,0.0,530,211,,,499,193,499,200,446,159,508,197,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
554,Kayne,van Oevelen,Van Oevelen,u,Has joined Valencia on loan for the rest of the season,,4.5,527,46,0.0,558,65,0.0,488,62,0,0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,488,62,0.0,0.0,453,62,455,48,397,47,463,62,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
562,Daizen,Maeda,Maeda,a,,,5.4,213,133,0.3,291,97,2.0,166,75,2,-1,1,-1,1,127,498,0.4,1.1,2.0,2.0,2.0,201,91,,,174,66,231,125,72,41,175,83,,,,,,,,0.3,0.0,0.3,2.15,0.0,0.0,2.92,1.25,7.92,3,2,65,0,0,0,2,0,0,0,0,0,0,1,0,9,137,545,0,0.039999999999999925,0.0,0.039999999999999925,0.6200000000000001,0.0,0.0,0.0,0.0,2,2,1,5
564,Kjell,Scherpen,Scherpen,a,,,4.5,478,37,0.6,239,32,2.0,153,14,2,0,0,0,0,675,470,0.4,1.3,2.0,2.0,2.0,179,14,,,28,4,420,39,357,38,145,5,,,,,,,,0.0,0.0,0.0,2.04,4.33,0.0,2.67,1.0,0.0,3,2,90,0,0,0,2,0,0,0,0,0,5,1,0,13,731,598,0,0.0,0.0,0.0,0.6900000000000004,0.0,0.0,0.0,0.0,0,0,7,0
571,Florentino Ibrain,Morris Luís,Florentino,a,,,4.9,392,238,0.1,429,171,0.0,528,209,0,0,0,-1,1,51,109,0.0,0.0,0.0,0.0,0.0,528,209,100.0,100.0,497,191,497,198,444,157,506,195,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591,Julio,Enciso,Enciso,a,,,5.5,169,102,0.8,215,69,3.7,73,34,1,0,0,0,0,3310,1392,0.7,2.0,3.7,3.7,3.7,91,43,100.0,100.0,77,30,96,59,47,28,58,38,,,,,,,,0.31,0.23,0.54,2.19,0.0,0.0,2.88,1.08,7.56,3,1,90,0,0,0,2,0,0,0,1,0,0,1,0,16,3709,1494,0,0.24,0.020000000000000018,0.26,0.6899999999999995,0.0,0.0,0.0,0.0,0,2,3,5
592,Abdoul,Ouattara,Ouattara,a,,,4.0,639,202,0.9,197,75,1.0,225,78,1,0,0,0,0,349,448,0.2,0.8,1.0,1.0,1.0,258,91,,,262,101,182,58,305,123,275,100,,,,,,,,0.0,0.05,0.05,2.05,0.0,0.0,2.31,0.0,4.62,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,4,369,508,0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0,0,2,0
602,Cameron,Humphreys,Humphreys,u,Has joined Huddersfield Town on loan for the rest of the season,,4.5,525,272,0.0,521,216,0.0,486,191,0,0,0,0,0,0,222,0.0,0.0,0.0,0.0,0.0,486,191,0.0,0.0,451,171,453,180,395,138,461,176,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
619,Exequiel,Palacios,Palacios,a,,,5.0,275,170,0.0,573,236,2.5,130,58,4,0,0,0,0,364,77,0.5,1.0,2.5,2.5,2.5,153,66,,,250,109,170,100,229,109,253,114,,,,,,,,0.0,0.03,0.03,2.24,0.0,0.0,3.43,0.86,21.43,3,4,77,0,0,0,2,0,0,0,0,0,0,1,0,24,367,77,0,0.0,0.019999999999999997,0.019999999999999997,0.69,0.0,0.0,0.0,0.0,4,3,12,19
