player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
7,26-27-prem-arsenal-vs-coventry-city,90.0,0.0,0.0,1.0,0.06,0.11,0.0,,,3.0,94.0,77.0,95.0,1.0,7.0,,,3.0,100.0,1.0,0.0,5.0,1.0,0.0,,0.0,5.0,1.0,4.0,80.0,1.0,100.0,3.0,1.0,,,,,,,,0.0,,,,,,,,,0,90,0,0.0,0,,,,,,,
575,26-27-prem-arsenal-vs-coventry-city,62.0,0.0,0.0,,,,,,,0.0,15.0,10.0,77.0,0.0,1.0,,,,,0.0,0.0,3.0,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,1.0,100.0,,2.0,,,,,,,,0.0,,,,,,,,,0,62,3,0.0,0,,,,,,,
20,26-27-prem-arsenal-vs-coventry-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
325,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
418,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,2.0,0.04,0.4,1.0,,,5.0,89.0,72.0,92.0,2.0,11.0,1.0,50.0,8.0,73.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,4.0,2.0,2.0,67.0,2.0,67.0,,0.0,,,,,,,,0.0,,,,,,,0.01,,0,96,2,0.0,0,,,,,,,
289,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,,,,,,,0.0,33.0,13.0,68.0,0.0,3.0,,,0.0,0.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,8.0,5.0,5.0,50.0,3.0,100.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,0,96,0,0.0,0,,,,,,,
277,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,,,,,,,1.0,54.0,25.0,78.0,0.0,3.0,,,1.0,33.0,1.0,0.0,3.0,3.0,17.0,7.0,0.0,2.0,1.0,1.0,100.0,1.0,50.0,,0.0,,,,,,,,0.0,,,,,,,,,0,96,0,0.0,0,,,,,,,
423,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,,,0.26,,,,3.0,89.0,47.0,80.0,4.0,6.0,3.0,43.0,1.0,50.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,25.0,2.0,67.0,,0.0,,,,,,,,1.0,,,,,,,,,0,96,2,0.0,0,,,,,,,
279,26-27-prem-hull-city-vs-manchester-united,64.0,1.0,0.0,1.0,0.81,,1.0,,,2.0,27.0,14.0,88.0,0.0,2.0,,,1.0,50.0,0.0,2.0,3.0,0.0,5.0,3.0,0.0,3.0,,1.0,100.0,2.0,100.0,,0.0,,,,,,,,0.0,,,,,,,0.99,,0,64,0,0.0,0,,,,,,,
426,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,3.0,0.07,0.26,1.0,,,3.0,102.0,71.0,84.0,3.0,19.0,2.0,33.0,4.0,40.0,0.0,0.0,5.0,0.0,1.0,,0.0,1.0,1.0,1.0,50.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.01,,0,96,2,0.0,0,,,,,,,
43,26-27-prem-hull-city-vs-manchester-united,67.0,0.0,0.0,1.0,0.04,0.11,0.0,,,1.0,80.0,62.0,89.0,0.0,12.0,0.0,0.0,1.0,50.0,0.0,0.0,5.0,0.0,0.0,,2.0,3.0,4.0,3.0,43.0,0.0,,3.0,1.0,,,,,,,,0.0,,,,,,,,,0,67,2,0.0,0,,,,,,,
295,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,2.0,0.1,0.01,2.0,,,3.0,35.0,11.0,61.0,2.0,6.0,,,2.0,100.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,7.0,8.0,3.0,60.0,4.0,40.0,2.0,1.0,,,,,,,,1.0,,,,,,,0.41,,0,96,0,0.0,0,,,,,,,
273,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
556,26-27-prem-hull-city-vs-manchester-united,5.0,0.0,0.0,,,,,,,0.0,7.0,5.0,100.0,0.0,1.0,,,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,85,96,0,0.0,0,,,,,,,
285,26-27-prem-hull-city-vs-manchester-united,26.0,0.0,0.0,,,,,,,0.0,7.0,3.0,75.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,,1.0,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,64,96,0,0.0,0,,,,,,,
288,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
429,26-27-prem-hull-city-vs-manchester-united,45.0,0.0,0.0,,,0.1,,,,2.0,32.0,19.0,79.0,4.0,1.0,1.0,33.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,3.0,2.0,67.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,,,,,,,,,46,96,0,0.0,0,,,,,,,
280,26-27-prem-hull-city-vs-manchester-united,70.0,0.0,0.0,,,0.01,,,,0.0,31.0,16.0,80.0,1.0,5.0,0.0,0.0,2.0,50.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,75.0,1.0,33.0,2.0,1.0,,,,,,,,0.0,,,,,,,,,0,70,0,0.0,0,,,,,,,
417,26-27-prem-hull-city-vs-manchester-united,10.0,0.0,0.0,,,,,,,0.0,14.0,9.0,100.0,1.0,2.0,,,1.0,100.0,2.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,67.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,80,96,0,0.0,0,,,,,,,
422,26-27-prem-hull-city-vs-manchester-united,80.0,0.0,0.0,1.0,0.23,0.05,0.0,,,2.0,94.0,62.0,93.0,2.0,9.0,0.0,0.0,2.0,50.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,1.0,33.0,2.0,67.0,,1.0,,,,,,,,0.0,,,,,,,,,0,80,2,0.0,0,,,,,,,
290,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,1.0,,,0.44,,,,0.0,32.0,19.0,90.0,1.0,1.0,2.0,100.0,1.0,50.0,1.0,0.0,2.0,0.0,0.0,,0.0,1.0,4.0,1.0,25.0,0.0,0.0,,2.0,,,,,,,,1.0,,,,,,,,,0,96,0,0.0,0,,,,,,,
419,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
428,26-27-prem-hull-city-vs-manchester-united,80.0,0.0,0.0,3.0,0.24,0.21,1.0,,,6.0,44.0,27.0,96.0,2.0,2.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,,1.0,1.0,6.0,1.0,20.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,,,,,,,0.07,,0,80,2,0.0,0,,,,,,,
427,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,4.0,0.5,0.23,2.0,,,7.0,64.0,38.0,86.0,1.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,2.0,6.0,0.0,0.0,2.0,33.0,,0.0,,,,,,,,0.0,,,,,,,0.51,,0,96,2,0.0,0,,,,,,,
287,26-27-prem-hull-city-vs-manchester-united,19.0,0.0,0.0,,,,,,,1.0,10.0,2.0,67.0,0.0,,,,,,1.0,0.0,1.0,0.0,1.0,,0.0,2.0,3.0,2.0,50.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,71,96,0,0.0,0,,,,,,,
282,26-27-prem-hull-city-vs-manchester-united,85.0,0.0,0.0,1.0,0.02,0.07,0.0,,,1.0,38.0,11.0,69.0,1.0,3.0,2.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,50.0,3.0,75.0,,0.0,,,,,,,,0.0,,,,,,,,,0,85,0,0.0,0,,,,,,,
440,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
281,26-27-prem-hull-city-vs-manchester-united,20.0,0.0,0.0,1.0,0.06,,0.0,,,0.0,12.0,3.0,60.0,0.0,1.0,,,0.0,0.0,1.0,1.0,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,50.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,70,96,0,0.0,0,,,,,,,
572,26-27-prem-hull-city-vs-manchester-united,90.0,,,,,,,,,,69.0,,,,15.0,,,,,0.0,0.0,22.0,,0.0,,,3.0,,1.0,100.0,2.0,100.0,2.0,0.0,5.0,0.0,0.6,0.6,2.0,17.0,10.0,,3.0,,3.0,,,,,,0,96,0,0.0,0,,,,,,,
439,26-27-prem-hull-city-vs-manchester-united,23.0,0.0,0.0,1.0,0.04,,0.0,,,3.0,6.0,3.0,100.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,5.0,0.0,0.0,1.0,25.0,,1.0,,,,,,,,1.0,,,,,,,,,67,96,0,0.0,0,,,,,,,
412,26-27-prem-hull-city-vs-manchester-united,90.0,,,,,,,,,,25.0,,,,1.0,,,,,0.0,0.0,8.0,,2.0,,,,,,,,,,0.0,2.0,2.0,1.72,-0.28,1.0,11.0,3.0,,0.0,,2.0,,,,,,0,96,2,0.0,0,,,,,,,
